"","Output","Chemical.name","InVivo.Model","InVitro.Model","InVivo","InVitro.p50","InVitro.p2.5","InVitro.p97.5","log10err.p50","log10err.p97.5","log10err.p2.5","pcterr"
"1","EC01","Cisapride","in vivo Linear","in vitro Population Median",0.00167266643026843,0.000564989104260319,0.00305624087595072,0.000132771503948664,-0.471369268291107,-1.10030446619305,0.261778239054287,-66.2222488574934
"2","EC01","Citalopram","in vivo Linear","in vitro Population Median",0.0655075659253136,0.0350593695842315,0.0956861805465007,0.0118168378086186,-0.271487359970136,-0.743790187901179,0.164557756845207,-46.4804269720487
"3","EC01","Disopyramide","in vivo Linear","in vitro Population Median",0.299543196894472,0.289757671562616,0.686116209841046,0.128533460763056,-0.0144245174390819,-0.367443259438995,0.359938219358039,-3.26681608305853
"4","EC01","Disopyramide","in vivo Hill","in vitro Population Median",0.306542069004582,0.289757671562616,0.686116209841046,0.128533460763056,-0.0244551412684494,-0.377473883268363,0.349907595528671,-5.47539771505751
"5","EC01","Dofetilide","in vivo Hill","in vitro Population Median",0.00146447256614863,5.38855392738693e-05,0.012030167302901,NA,-1.43420900695642,NA,0.914590426603394,-96.3204814812215
"6","EC01","Moxifloxacin","in vivo Linear","in vitro Population Median",1.47982065944607,5.86409510915385,13.8753388282986,3.00377453514278,0.597991919351254,0.307458245072582,0.972034511045112,296.270661023811
"7","EC01","N-acetylprocainamide","in vivo Linear","in vitro Population Median",5.25812608238042,3.55444685832157,6.58268702188378,1.96539686728003,-0.170058970078164,-0.427380736180563,0.0975722111118159,-32.4008819371553
"8","EC01","N-acetylprocainamide","in vivo Hill","in vitro Population Median",0.773946398154977,3.55444685832157,6.58268702188378,1.96539686728003,0.662061142147913,0.404739376045515,0.929692323337894,359.262665579304
"9","EC01","Quinidine","in vivo Linear","in vitro Population Median",0.0204669474982308,0.0461580000602356,0.0910769508613318,0.0207596402709412,0.353193907874034,0.00616674814695806,0.648355407054114,125.524593074886
"10","EC01","Sematilide","in vivo Linear","in vitro Population Median",0.100794654775212,0.144898877848507,0.546958658592928,0.0649940029687089,0.157627520423333,-0.190564215812592,0.734517000072447,43.756509878082
"11","EC01","Sematilide","in vivo Hill","in vitro Population Median",0.0653336817032976,0.144898877848507,0.546958658592928,0.0649940029687089,0.345927889771353,-0.00226384646457167,0.922817369420467,121.782814118056
"12","EC01","Sotalol","in vivo Linear","in vitro Population Median",0.380512432121985,0.247922090909936,0.389449154643974,0.118064438632838,-0.186053624657801,-0.50824974413618,0.0100819148469231,-34.8452061007938
"13","EC01","Vernacalant","in vivo Hill","in vitro Population Median",1.72322956893908,2.25635736062215,5.30848172245745,0.873608346683519,0.117064745989314,-0.295026363343678,0.488627188296203,30.9377114513703
"14","EC01","Cisapride","in vivo Linear","in vitro Standard Donor",0.00167266643026843,0.000294267091513791,0.00384013456722632,1.23081444570477e-05,-0.754667644098414,-2.13321675608893,0.360937102440598,-82.4073057132756
"15","EC01","Citalopram","in vivo Linear","in vitro Standard Donor",0.0655075659253136,0.0399673356447097,0.672555786153587,0.00112821011693749,-0.214586264871992,-1.76390147275276,1.01143685079406,-38.9882144449128
"16","EC01","Disopyramide","in vivo Linear","in vitro Standard Donor",0.299543196894472,0.667054920723572,2.46524003910042,0.193446093812182,0.347702131699839,-0.189899495922878,0.91539975217743,122.690726292333
"17","EC01","Disopyramide","in vivo Hill","in vitro Standard Donor",0.306542069004582,0.667054920723572,2.46524003910042,0.193446093812182,0.337671507870471,-0.199930119752246,0.905369128348063,117.606321667255
"18","EC01","Dofetilide","in vivo Hill","in vitro Standard Donor",0.00146447256614863,7.00144507824429e-05,0.0105917766218182,NA,-1.32049355408366,NA,0.859287572530603,-95.2191353801477
"19","EC01","Moxifloxacin","in vivo Linear","in vitro Standard Donor",1.47982065944607,6.37088980501144,28.6422256688479,1.59684053051568,0.633991007195266,0.0330524610959294,1.28679767605798,330.51769579945
"20","EC01","N-acetylprocainamide","in vivo Linear","in vitro Standard Donor",5.25812608238042,4.94442547664366,15.9472033081233,1.26019440552842,-0.0267151601541324,-0.620393448370127,0.481853535349074,-5.96601528418928
"21","EC01","N-acetylprocainamide","in vivo Hill","in vitro Standard Donor",0.773946398154977,4.94442547664366,15.9472033081233,1.26019440552842,0.805404952071945,0.211726663855951,1.31397364757515,538.858903979752
"22","EC01","Quinidine","in vivo Linear","in vitro Standard Donor",0.0204669474982308,0.0469424555930184,0.3011207287747,0.00486232274680285,0.360512728593883,-0.624209292848936,1.16768757731717,129.357385106285
"23","EC01","Sematilide","in vivo Linear","in vitro Standard Donor",0.100794654775212,0.215565314402114,0.510727444464792,0.0436088701236227,0.330141380138902,-0.363862667178368,0.704751694022684,113.865819455266
"24","EC01","Sematilide","in vivo Hill","in vitro Standard Donor",0.0653336817032976,0.215565314402114,0.510727444464792,0.0436088701236227,0.518441749486922,-0.175562297830348,0.893052063370704,229.945150467824
"25","EC01","Sotalol","in vivo Linear","in vitro Standard Donor",0.380512432121985,0.276871018642213,0.904433088212456,0.0189504445623048,-0.138091352098465,-1.30274944800478,0.376007591770593,-27.2373264920151
"26","EC01","Vernacalant","in vivo Hill","in vitro Standard Donor",1.72322956893908,2.56382029053079,11.0296741965933,0.453905604981887,0.172544442210716,-0.579377592494688,0.806219546001525,48.7799615758237
"27","EC01","Cisapride","in vivo Linear","in vitro Donor 1392",0.00167266643026843,0.000612855221001221,0.00618077596437252,3.64285902489707e-05,-0.436051450613775,-1.66196697608717,0.567633661051861,-63.3605834426372
